"ADM_RATE","CONTROL","net_cost","income_group"
0.8989,"Public",12683,"Q1"
0.8673,"Public",12361,"Q1"
0.8062,"Public",14652,"Q1"
0.5125,"Public",12342,"Q1"
0.5655,"Public",17206,"Q1"
0.8371,"Public",9044,"Q1"
0.8274,"Public",13191,"Q1"
0.6422,"Private",NA,"Q1"
0.8326,"Public",14021,"Q1"
0.9957,"Public",12131,"Q1"
0.7125,"Private",NA,"Q1"
0.8729,"Public",12723,"Q1"
0.8092,"Public",11270,"Q1"
0.3435,"Private",NA,"Q1"
0.7697,"Private",NA,"Q1"
0.8604,"Public",10165,"Q1"
0.4627,"Private",NA,"Q1"
0.9615,"Private",NA,"Q1"
0.43,"Private",NA,"Q1"
0.6821,"Public",11192,"Q1"
0.3511,"Private",NA,"Q1"
0.4888,"Public",NA,"Q1"
0.8023,"Public",8246,"Q1"
0.7692,"Public",10542,"Q1"
0.7898,"Private",NA,"Q1"
0.9137,"Public",11962,"Q1"
0.5274,"Public",9026,"Q1"
0.5858,"Public",8801,"Q1"
0.277,"Public",7140,"Q1"
0.7551,"Public",7990,"Q1"
0.8503,"Public",8433,"Q1"
0.8615,"Private",NA,"Q1"
0.8997,"Public",8003,"Q1"
0.7628,"Private",NA,"Q1"
0.6221,"Public",7969,"Q1"
0.8039,"Private",NA,"Q1"
0.6982,"Private",NA,"Q1"
0.7011,"Private",NA,"Q1"
0.5838,"Public",5940,"Q1"
0.6081,"Public",6792,"Q1"
0.5736,"Public",6429,"Q1"
0.8167,"Private",NA,"Q1"
0.7985,"Private",NA,"Q1"
0.8321,"Private",NA,"Q1"
0.7286,"Private",NA,"Q1"
0.788,"Private",NA,"Q1"
0.8157,"Private",NA,"Q1"
0.1055,"Private",NA,"Q1"
0.4802,"Private",NA,"Q1"
0.3123,"Public",9938,"Q1"
0.4922,"Private",NA,"Q1"
0.6626,"Public",6299,"Q1"
0.7215,"Public",4711,"Q1"
0.5831,"Public",4967,"Q1"
0.5218,"Public",7599,"Q1"
0.7161,"Public",9956,"Q1"
0.5747,"Public",1592,"Q1"
0.5815,"Public",4281,"Q1"
0.4579,"Public",4449,"Q1"
0.6872,"Public",8800,"Q1"
0.3082,"Public",6048,"Q1"
0.6752,"Public",3207,"Q1"
0.4624,"Public",8779,"Q1"
0.6968,"Public",6971,"Q1"
0.18,"Public",8506,"Q1"
0.4521,"Public",9573,"Q1"
0.4239,"Public",8096,"Q1"
0.2199,"Public",8883,"Q1"
0.62,"Public",7651,"Q1"
0.375,"Public",8861,"Q1"
0.4444,"Public",9546,"Q1"
0.5991,"Public",9989,"Q1"
0.8333,"Private",NA,"Q1"
0.2992,"Private",NA,"Q1"
0.4471,"Private",NA,"Q1"
0.8889,"Private",NA,"Q1"
0.9119,"Private",NA,"Q1"
0.1173,"Private",NA,"Q1"
0.548,"Private",NA,"Q1"
0.6667,"Private",NA,"Q1"
0.7752,"Private",NA,"Q1"
0.7844,"Private",NA,"Q1"
0.8018,"Public",10579,"Q1"
0.7482,"Private",NA,"Q1"
0.3895,"Private",NA,"Q1"
0.4327,"Private",NA,"Q1"
0.4677,"Private",NA,"Q1"
0.6137,"Private",NA,"Q1"
0.5412,"Private",NA,"Q1"
0.6798,"Private",NA,"Q1"
0.7409,"Private",NA,"Q1"
0.872,"Private",NA,"Q1"
0.4239,"Private",NA,"Q1"
0.4628,"Private",NA,"Q1"
0.5055,"Private",NA,"Q1"
0.7265,"Private",NA,"Q1"
0.3734,"Private",NA,"Q1"
0.1451,"Private",NA,"Q1"
0.6654,"Private",NA,"Q1"
0.1392,"Private",NA,"Q1"
0.672,"Private",NA,"Q1"
0.3121,"Public",6298,"Q1"
0.4885,"Private",NA,"Q1"
0.8269,"Private",NA,"Q1"
0.3986,"Private",NA,"Q1"
0.6379,"Public",9900,"Q1"
0.6129,"Private",NA,"Q1"
0.6929,"Private",NA,"Q1"
0.6347,"Public",9571,"Q1"
0.5122,"Private",NA,"Q1"
0.555,"Private",NA,"Q1"
0.6947,"Private",NA,"Q1"
0.8186,"Public",10818,"Q1"
0.6977,"Private",NA,"Q1"
0.8667,"Private",NA,"Q1"
0.1984,"Private",NA,"Q1"
0.79,"Private",NA,"Q1"
0.7016,"Private",NA,"Q1"
0.6325,"Private",NA,"Q1"
0.5575,"Private",NA,"Q1"
0.526,"Public",14705,"Q1"
0.7587,"Public",9870,"Q1"
0.91,"Public",9399,"Q1"
0.8771,"Public",13636,"Q1"
0.9764,"Private",NA,"Q1"
0.2228,"Private",NA,"Q1"
0.3743,"Public",19966,"Q1"
0.7743,"Public",9898,"Q1"
0.7673,"Private",NA,"Q1"
0.875,"Public",10617,"Q1"
0.8212,"Public",13340,"Q1"
0.7116,"Public",8618,"Q1"
0.6957,"Public",14208,"Q1"
0.6986,"Private",NA,"Q1"
0.9434,"Public",11016,"Q1"
0.932,"Public",11174,"Q1"
0.6821,"Private",NA,"Q1"
0.6385,"Private",NA,"Q1"
0.6413,"Public",12522,"Q1"
0.3585,"Private",NA,"Q1"
0.5366,"Public",12678,"Q1"
0.6453,"Public",14399,"Q1"
0.7116,"Private",NA,"Q1"
0.6173,"Private",NA,"Q1"
0.8537,"Private",NA,"Q1"
0.7441,"Private",NA,"Q1"
0.6722,"Private",NA,"Q1"
0.7624,"Private",NA,"Q1"
0.857,"Private",NA,"Q1"
0.7542,"Public",11967,"Q1"
0.3178,"Private",NA,"Q1"
0.2092,"Private",NA,"Q1"
0.6549,"Public",12778,"Q1"
0.0705,"Private",NA,"Q1"
0.4168,"Public",12481,"Q1"
0.6468,"Public",9409,"Q1"
0.5231,"Private",NA,"Q1"
0.625,"Private",NA,"Q1"
0.4312,"Private",NA,"Q1"
0.6007,"Private",NA,"Q1"
0.2712,"Private",NA,"Q1"
0.6558,"Private",NA,"Q1"
0.3308,"Private",NA,"Q1"
0.1697,"Private",NA,"Q1"
0.493,"Private",NA,"Q1"
0.75,"Private",NA,"Q1"
0.5231,"Private",NA,"Q1"
0.4257,"Private",NA,"Q1"
0.4678,"Private",NA,"Q1"
0.666,"Private",NA,"Q1"
0.776,"Private",NA,"Q1"
0.4172,"Private",NA,"Q1"
0.4894,"Public",11134,"Q1"
0.7104,"Private",NA,"Q1"
0.7405,"Private",NA,"Q1"
0.45,"Public",10326,"Q1"
0.4773,"Public",10215,"Q1"
0.4987,"Private",NA,"Q1"
0.1336,"Private",NA,"Q1"
0.6045,"Private",NA,"Q1"
0.4304,"Public",9183,"Q1"
0.4159,"Private",NA,"Q1"
0.4989,"Private",NA,"Q1"
0.5681,"Public",11542,"Q1"
0.4655,"Public",8111,"Q1"
0.4737,"Private",NA,"Q1"
0.9331,"Private",NA,"Q1"
0.4044,"Private",NA,"Q1"
0.5343,"Public",6825,"Q1"
0.5102,"Private",NA,"Q1"
0.5746,"Private",NA,"Q1"
0.8412,"Private",NA,"Q1"
0.7331,"Private",NA,"Q1"
0.5889,"Private",NA,"Q1"
0.7662,"Private",NA,"Q1"
0.4524,"Public",6688,"Q1"
0.4567,"Private",NA,"Q1"
0.5925,"Private",NA,"Q1"
0.5932,"Private",NA,"Q1"
0.5221,"Private",NA,"Q1"
0.4847,"Private",NA,"Q1"
0.4808,"Public",9379,"Q1"
0.709,"Public",7887,"Q1"
0.1992,"Public",12026,"Q1"
0.6998,"Public",12451,"Q1"
0.568,"Private",NA,"Q1"
0.6032,"Private",NA,"Q1"
0.7829,"Private",NA,"Q1"
0.8221,"Public",9793,"Q1"
0.477,"Public",10669,"Q1"
0.5543,"Public",9645,"Q1"
0.5704,"Private",NA,"Q1"
0.2633,"Private",NA,"Q1"
0.3273,"Public",13336,"Q1"
0.5493,"Public",7364,"Q1"
0.6803,"Public",9462,"Q1"
0.6798,"Public",12590,"Q1"
0.52,"Public",13532,"Q1"
0.5466,"Public",13435,"Q1"
0.5608,"Public",8004,"Q1"
0.4529,"Public",7416,"Q1"
0.5654,"Public",13046,"Q1"
0.7454,"Private",NA,"Q1"
0.69,"Private",NA,"Q1"
0.6684,"Private",NA,"Q1"
0.6118,"Private",NA,"Q1"
0.514,"Private",NA,"Q1"
0.6547,"Private",NA,"Q1"
0.8299,"Public",8997,"Q1"
0.6807,"Private",NA,"Q1"
0.3802,"Private",NA,"Q1"
0.7798,"Public",8407,"Q1"
0.5522,"Public",13421,"Q1"
0.5385,"Public",11209,"Q1"
0.5365,"Private",NA,"Q1"
0.8359,"Private",NA,"Q1"
0.752,"Public",7544,"Q1"
0.8009,"Public",7363,"Q1"
0.6411,"Private",NA,"Q1"
0.7766,"Public",11769,"Q1"
0.6565,"Public",10173,"Q1"
0.9977,"Public",10218,"Q1"
0.617,"Private",NA,"Q1"
0.9963,"Private",NA,"Q1"
0.7184,"Private",NA,"Q1"
0.5867,"Private",NA,"Q1"
0.7595,"Private",NA,"Q1"
0.6694,"Private",NA,"Q1"
0.2865,"Public",10087,"Q1"
0.0881,"Private",NA,"Q1"
0.9053,"Private",NA,"Q1"
0.5441,"Private",NA,"Q1"
0.5987,"Private",NA,"Q1"
0.6191,"Public",13281,"Q1"
0.718,"Private",NA,"Q1"
0,"Private",NA,"Q1"
0.657,"Private",NA,"Q1"
0.9299,"Private",NA,"Q1"
0.714,"Public",9618,"Q1"
0.695,"Private",NA,"Q1"
0.6239,"Public",7954,"Q1"
0.5838,"Private",NA,"Q1"
0.5697,"Private",NA,"Q1"
0.6892,"Public",11205,"Q1"
0.7496,"Private",NA,"Q1"
0.5727,"Private",NA,"Q1"
0.5587,"Private",NA,"Q1"
0.8919,"Private",NA,"Q1"
0.6875,"Private",NA,"Q1"
0.8747,"Private",NA,"Q1"
0.914,"Private",NA,"Q1"
0,"Private",NA,"Q1"
0.6289,"Private",NA,"Q1"
0.8636,"Private",NA,"Q1"
0.5512,"Private",NA,"Q1"
0.6431,"Private",NA,"Q1"
0.6855,"Private",NA,"Q1"
