"YearType","Year","OrganizationGroupCode","OrganizationGroup","DepartmentCode","Department","UnionCode","Union","JobFamilyCode","JobFamily","JobCode","Job","EmployeeIdentifier","Salaries","Overtime","OtherSalaries","TotalSalary","Retirement","HealthDental","OtherBenefits","TotalBenefits","TotalCompensation"
"Calendar",2016,2,"Public Works, Transportation & Commerce","MTA","Municipal Transportation Agency",253,"Transport Workers - Transit Operators, Local 250-A","9100","Street Transit","9163","Transit Operator",48466,72928.97,46924.1,866.15,120719.22,16727.17,14695.11,9395.07,40817.35,161536.57
"Calendar",2016,4,"Community Health","DPH","Public Health",791,"SEIU - Staff and Per Diem Nurses, Local 1021","2300","Nursing","P103","Special Nurse",13372,26076.7,0,2336.5,28413.2,0,2027.3,1676.7,3704,32117.2
"Calendar",2016,2,"Public Works, Transportation & Commerce","MTA","Municipal Transportation Agency",254,"Transport Workers - Fare Inspectors, Local 250-A","9100","Street Transit","9132","Transit Fare Inspector",10136,65989.71,4325.82,5338.99,75654.52,13716.43,13478.93,6096.15,33291.51,108946.03
"Calendar",2016,1,"Public Protection","POL","Police",790,"SEIU - Miscellaneous, Local 1021","8200","Protection & Apprehension","8251","Fingerprint Technician 3",20535,11420.01,1188.39,1492.46,14100.86,2235.25,2057.85,1098.39,5391.49,19492.35
"Calendar",2016,1,"Public Protection","FIR","Fire Department",798,"Firefighters - Miscellaneous, Local 798","H000","Fire Services","H002","Firefighter",28571,125084,45836.66,22565.67,193486.33,25524.74,16873.16,3246.13,45644.03,239130.36
"Calendar",2016,2,"Public Works, Transportation & Commerce","WTR","PUC Water Department",38,"Plumbers and Pipefitters, Local 38","7300","Journeyman Trade","7388","Utility Plumber",38448,109082.81,5625.1,2270,116977.91,20514.11,13890.51,9321.18,43725.8,160703.71
"Calendar",2016,4,"Community Health","DPH","Public Health",164,"Physicians and Dentists - Miscellaneous","2200","Medical & Dental","2210","Dentist",49466,53105.17,0,1050,54155.17,9718.09,4141.43,4355.57,18215.09,72370.26
"Calendar",2016,2,"Public Works, Transportation & Commerce","MTA","Municipal Transportation Agency",261,"Laborers, Local 261","7500","Semi-Skilled & General Labor","7540","Track Maintenance Worker",12738,36113.17,14569.55,2627.16,53309.88,7100.53,7198.75,4401.96,18701.24,72011.12
"Calendar",2016,5,"Culture & Recreation","REC","Recreation and Park Commission",790,"SEIU - Miscellaneous, Local 1021","9900","Public Service Aide","9910","Public Service Trainee",50730,838.5,0,36.4,874.9,0,414.79,67.9,482.69,1357.59
"Calendar",2016,3,"Human Welfare & Neighborhood Development","DSS","Human Services",790,"SEIU - Miscellaneous, Local 1021","9900","Public Service Aide","9910","Public Service Trainee",23146,6707.09,0,850.8,7557.89,1474.91,3032.12,616.5,5123.53,12681.42
"Calendar",2016,1,"Public Protection","JUV","Juvenile Probation",790,"SEIU - Miscellaneous, Local 1021","8300","Correction & Detention","8320","Counselor, Juvenile Hall",9328,77100.79,10449.03,5503.86,93053.68,20134.52,13890.5,1912.44,35937.46,128991.14
"Calendar",2016,4,"Community Health","DPH","Public Health",791,"SEIU - Staff and Per Diem Nurses, Local 1021","2300","Nursing","P103","Special Nurse",45037,18284.78,0,1096.68,19381.46,0,1442.11,1504.31,2946.42,22327.88
"Calendar",2016,2,"Public Works, Transportation & Commerce","PRT","Port",261,"Laborers, Local 261","7200","Supervisory-Labor & Trade","7281","Street Environ Svcs Oprs Supv",36491,106117.2,6951.01,2947.97,116016.18,19551.4,13890.5,9535.86,42977.76,158993.94
"Calendar",2016,2,"Public Works, Transportation & Commerce","WTR","PUC Water Department",21,"Prof & Tech Engineers - Miscellaneous, Local 21","5200","Professional Engineering","5293","Planner 4",40060,136108.54,0,0,136108.54,24421.38,13890.5,10438.15,48750.03,184858.57
"Calendar",2016,6,"General Administration & Finance","CPC","City Planning",21,"Prof & Tech Engineers - Miscellaneous, Local 21","5200","Professional Engineering","5278","Planner 2",26813,88285.76,0,0,88285.76,16263.44,13647.74,7043.37,36954.55,125240.31
"Calendar",2016,3,"Human Welfare & Neighborhood Development","HRC","Human Rights Commission",790,"SEIU - Miscellaneous, Local 1021","1400","Clerical, Secretarial & Steno","1426","Senior Clerk Typist",16941,66779.94,0,648,67427.94,12422.03,13890.5,5553.05,31865.58,99293.52
"Calendar",2016,5,"Culture & Recreation","LIB","Public Library",790,"SEIU - Miscellaneous, Local 1021","3600","Library","3602","Library Page",12773,26627.87,0,350.28,26978.15,5548.41,8212.14,2160.87,15921.42,42899.57
"Calendar",2016,1,"Public Protection","FIR","Fire Department",798,"Firefighters - Miscellaneous, Local 798","H000","Fire Services","H002","Firefighter",51563,119258.64,3522.2,22393.16,145174,24072.78,16977.28,2433.82,43483.88,188657.88
"Calendar",2016,4,"Community Health","DPH","Public Health",790,"SEIU - Miscellaneous, Local 1021","2500","Med Therapy & Auxiliary","2588","Health Worker 4",35909,85010.8,0,0,85010.8,15661.35,13890.49,7066.95,36618.79,121629.59
"Calendar",2016,6,"General Administration & Finance","ADM","General Services Agency - City Admin",790,"SEIU - Miscellaneous, Local 1021","2700","Housekeeping & Laundry","2708","Custodian",8463,59979.1,512.71,3664.78,64156.59,12793.03,13890.49,4964.74,31648.26,95804.85
"Calendar",2016,6,"General Administration & Finance","ASR","Assessor/Recorder",351,"Municipal Executive Association - Miscellaneous","0900","Management","0922","Manager I",51447,55397.46,0,0,55397.46,10118.64,7459.71,12585.26,30163.61,85561.07
"Calendar",2016,1,"Public Protection","POL","Police",790,"SEIU - Miscellaneous, Local 1021","9200","Airport Operation","9209","Community Police Services Aide",34588,73446.5,1391.63,6906.63,81744.76,14803.02,13890.5,6556.63,35250.15,116994.91
"Calendar",2016,2,"Public Works, Transportation & Commerce","AIR","Airport Commission",21,"Prof & Tech Engineers - Miscellaneous, Local 21","1800","Budget, Admn & Stats Analysis","1823","Senior Administrative Analyst",43772,31694.22,0,200,31894.22,5887.38,4907.98,2561.85,13357.21,45251.43
"Calendar",2016,3,"Human Welfare & Neighborhood Development","DSS","Human Services",535,"SEIU - Human Services, Local 1021","2900","Human Services","2944","Protective Services Supervisor",13522,17936,0,264,18200,3317.86,2057.85,1450.14,6825.85,25025.85
"Calendar",2016,2,"Public Works, Transportation & Commerce","MTA","Municipal Transportation Agency",254,"Transport Workers - Fare Inspectors, Local 250-A","9100","Street Transit","9132","Transit Fare Inspector",45200,72300.9,0,649.77,72950.67,17466.32,13890.5,5978.18,37335,110285.67
"Calendar",2016,3,"Human Welfare & Neighborhood Development","DSS","Human Services",535,"SEIU - Human Services, Local 1021","9700","Community Development","9703","Emp & Training Spec 2",9431,87088.36,0,638.07,87726.43,16159.15,13677.32,7300.55,37137.02,124863.45
